Game,String Hoisting,visualSettings Refactor,Standard Tutorial,Notes
The Score,No,No,No,tutorial group present but no who-needs-tutorial vote
Topaz 25,No,No,No,tutorial group present but no who-needs-tutorial vote
Tug,No,No,No,tutorial group present but no who-needs-tutorial vote
Venn,No,No,Yes,
Which Craft?,No,No,No,tutorial group present but no who-needs-tutorial vote
Who Goes There?,No,No,No,"conversation-group tutorial (vote + guided chat, not notifications)"
Willpower,Yes,Yes,Yes,
Wisecrack,Yes,Yes,No,"conversation-group tutorial (vote + guided chat, not notifications)"
Yo Ho Ho,No,No,No,tutorial group present but no who-needs-tutorial vote
Zee's Trivia Night!,No,No,No,
